label	review
1	"Я в восторге! Проходила 5 лет с Iphone 5 и думала, что тольк айфон. ""Как вообще можно пользоваться этими смартфонами!!!"". Тут мой телефон сломался. Самой мне выбирать абсолютно не хотелось. И я доверила это дело мужу. Мои пожелания были "" хорошая камера, интернет, ватсап, скайп и красивый!"". Ну что сказать, муж нашел мне телефон с моими требованиями. Телефон купили за 25000 рублей. Первое, что мне очень понравилось-внешний вид. Он очень красивый, как-будто стеклянный, темно-синий и отпечатки на нем практически не видны, не смотря на свою глянцевость. Камера и видео на высоте! Я в этом не особо понимаю, но качество снимков и видео мне очень нравится. Ну, интернет и ватсап понятно, что работает)) Я в восторге от этого телефона, очень быстро в нем разобралась и получаю сплошное удовольствие от использования, айфон больше не хочу! И вход по отпечатку пальца-это очень прикольная вещь. Во все свои приложения ( банки, вебмани и тд) я тоже вхожу по отпечатку, мне кажется, что это хорошая защита) Единственный момент, на который я бы обратила внимание, это то, что из-за своей глянцевости и гладкости, он у меня частенько падает ( скользит и вниз) со столов и тд, но целенький, падал даже на плитку. Чехол я не хочу, так как прятать такую красоту просто преступление. И приятным бонусом было то, что в комплект входит ключ для открытия отсека для сим-карты, об этом я реально переживала, сама бы не открыла. Телефон-супер, спасибо китайским производителям)"
1	Очень опасалась покупать... Всем привет! Я являюсь большим любителем сайта Алиэкспресс, и поэтому часто заказываю там всякую мелочевку. Когда пришла необходимость покупать новый толефон, я подумала,а почему бы и не воспользоваться моим любимым Алиэкспресс? Ни разу я не делала там покупок техники, тем более не дешевой. Подсчитав сколько я съэкономлю, я решила остановиться на Али. Выбор пал на телефон Ксиоми. Характеристики у него просто замечательные: он удобный, стильный. с металлическим корпусом, хороший звук, две отличные камеры, поддержка 2-х сим-карт, а главное достоинство лично для меня, это батарея ( по сравнению с другими телефонами заряд держит очень долго). Телефон пришел в коробке, в комплекте прилагалось зарядное устройство, переходник для розеток и собственно сам телефон. Все пришло в целости и сохранности. В настройках можно выбрать любой язык, в том числе и русский. Посылка пришла быстро и трек номер отслеживался. Очень довольна покупкой. Тем кто еще думает, покупать ли такие вещи на Али, однозначно говорю да.
0	Феномен уродства. Такого уродства, наверно, я никогда не видел! Единственный нормальный компонент - дисплей. IPS и даже HD, причём воспроизведение потокового видео возможно и не вызывает серьёзных нареканий. Относительно нормально работает камера, но только если сравнивать с бюджетными кнопочными телефонами, тем более, по мере захламления оставшихся 4Гб. памяти, хоть даже и фотографиями, частота и длительность зависаний нарастают. Абсолютно все остальное катастрофически плохо! Крайне убогое железо нагрузили аж 7-м андроидом, это под ОЗУ менее 1 Гб! Процессор, естественно, тоже дрянной и убогий, поэтому зависания происходят постоянно, без всяких на то причин. Никаких игр! Даже самых простых и лёгких. Можно ответить на звонок и мучиться с его завершением из-за зависания. Будь инженеры и программисты хоть немного разумнее, ограничились бы андроид 5 версии и все могло быть не так грустно... Батарейка дрянная, верю, что 1600 мА/ч, т.к. сколько нибудь активное использование интернета не позволит аппарату дожить до вечера. Как вишенка на торт - то ли вирус, то ли глюк, постоянно выскакивает уведомление о необходимости отключить инженерный режим, на него проще всего не обращать внимания, т.к. перепрошивать бесполезно, глюк, может и исчезнет, но нормальным такой телефон стать не может. Бесит все! Дьявольски! Как будто специально старались сделать дрянь! Убеждён, не каждый человек держал в руках столь гадкое устройство.
1	Отличный телефон!  Покупал телефон себе и полностью доволен им! За свою цену апарта лучше не нашёл! Топ железо и камера, супер большой аккумулятор. Из минусов могу выделить только отсутствие NFS хотя он мне и не сильно нужен. А так телефон удобный и приятный на ощупь, камера выступает не сильно и её прикрыл чехол в комплекте. За неделю использования без плёнки появилось две маленькие царапины, но они практически не заметны. Зарядку держит полтора дня стабильно и если телефон сядет заряжается очень быстро примерно за час. Рекомендую к покупке 
0	Ужасный аппарат за такие деньги Подарили мне его в конце 2017 года. На то время он стоил 17тр. Ужасный телефон. Камера так себе. Экран после первого падения в дребезги, замена половина стоимости телефона. Заряд держит плохо. Телефон живет своей жизнью. При 65% заряда может выключится, ставишь на зарядку показывает 1%. Был у меня филипс в два раза дешевле, заряд трое суток держал, и это при постоянном интернете, видео и музыки. Этот же и четыре часа не выдерживает. Сенсор тоже тупит. И выбор либо две симки, либо сим и карта, тоже не есть хорошо. Звук динамиков средненький. Даже игры нормальные не тянет, виснет. Только два плюса в нем - стильный дизайн и что человеку на линии не слышны шумы с моей стороны. Не советую данный телефон, и вообще эту фирму, я разочаровалась
0	"Телефон ZTE BLADE A3 2020 купила только из-за функции NFC, а оказалось, что даже она не работает У меня никогда не было навороченного телефона. Обычно такие вещи я выбираю по внешнему виду и цене. ZTE BLADE A3 2020 был куплен только по одной причине – функция NFC для оплаты телефоном. Сначала много времени было потрачено на установку и разборку с NFC. Потом она работала через раз, мы устанавливали и переустанавливали эту функцию. В итоге она тупо не работает. Вернуть телефон было слишком поздно, время возврата прошло. Камера – можно сказать, что ее нет, потому что фотки ужасные, размытые, он даже не имеет фокусировки (фотки, сделанные на этот телефон можно увидеть в других моих отзывах). Мой  , да даже   и то лучше фоткает. Когда долго разговариваешь по телефону или смотришь видео, или играешь, он сильно нагревается. Пользуюсь ZTE BLADE A3 2020 примерно полгода и уже сейчас кнопка ""Положить трубку"" зависает. Приходится сначала ставить телефон на блокировку, и только после этого окончить разговор. Из плюсов: внешний вид симпатичный (хотя было бы лучше, если он был поменьше), страницы в интернете быстро загружаются. Да, мы купили один из самых дешевых телефонов с функцией NFC. Ну а вообще в 21 веке телефон за 5000 рублей мог быть и покачественнее. Нефункциональный Гари не рекомендует"
0	Дёшево , и очень удобно. Начнём с того , что данная модель телефона базируется на андроид, а на мое усмотрение андроид самая удобная и понятная из всех ОС. Samsung galaxy j3 2016 подойдёт даже для пожилых людей , так как он очень лёгок в использовании. Что можно сказать про внешний вид? Внешний вид довольно не плохой . лично мне не нравится в этом телего не что звук плохой , и задняя камера со времнем портится , поститься качество фотографий. Есть и плюсы , в телефон встроенна программа ускоряющая работоспособность , и по мимо этого есть ещё интересные приложения которые делают эту модель телефона уникальным. Скажу так , телефон очень даже не плохой , стоит не дорого , принимает 2 сим карты и SD карту .
1	"Весьма достойный аппарат Всем здрасте. Муж подарил данный аппаратик взамен заглючившего Nokia Lumia. Сначала дулась, что не Lenovo, т.к. хотелось чего-то яркого, а не богато-золотого, но потом свыклась и начала тестировать. В общем, все меня в нем устроило - на ощупь приятный (задняя крышка) соображает шустро (4 ядра) места достаточно для меня (16гб) камеры обе понравились, хоть и соображают они долго интернет 4G - не к чему предраться цена отличная Не понравилось мне только два момента: 1. Симкарты без специнструмента в виде зубочистки и им подобных не достать 2. Стоически выдерживал ни одно жесткое падение, а сдался на мелком ""бумсе"". Упал на заднюю крышку плашмя, а трещина выглядит так, будто удар был точечный. (ну это уже я рукопоп))) ПС: сфотографировать не смогу, т.к. он и есть мой фотоаппарат =)"
1	Красивый и технологичный ультрабюджетник Я игроман до мозга костей, поэтому искал бюджетную модель телефона с большим экраном для игр, ну и для повседневной жизни. Первое, что хочу сказать, я ни разу не пожалел о своем выборе этой модели и вот уже два месяца наслаждаюсь пользованием.  Экран действительно большой, целых 7 дюймов, а если быть точнее, то 6,95. В руках помещается спокойно, ширина/длина тоже нормальная, идеальная для игр и просмотра фильмов. Одной из первых я протестировал игру Стендофф, все работает, не лагает, кадров в секунду много. Потом я попробовал танки, все так же, кадры не лагают при стандартных настройках по умолчанию. PUBG тоже очень хорошо работает. В целом, меня все порадовало, ну что касается игр. Даже они не сажают мощную батарею этого телефона. Я могу играть хоть весь день и мне хватит зарядки. Правда, заряжается не очень быстро, порядка трех часов из-за разъема микро USB и стандартного адаптера, но так как телефон разряжается только к ночи – можно оставить на ночь и тогда никаких неудобств приносить не будет. Комплектация включила в себя классный брендированный чехол силиконовый (круто смотрится на телефоне), наушники проводные (в них я постоянно играю и слушаю музыку), ну и зарядка. Камера четкая и естественная, фронтальная на восемь мегапикселей в каплевидной форме расположена. Плюс ко всему она еще и с искусственным интеллектом. Сзади три камеры и мощная вспышка, работают отлично, вспышка сильная и в ночное время выполняет свою функцию на все сто процентов. Процессор у телефона стоит mediateek helio a22, оперативной памяти 2 гБ, встроенной 32 гБ, вполне хватает на базовые потребности потребителя. Все необходимое уже по умолчанию установлено. Есть алфавитное поисковое меню, очень удобно.  Из функционала: есть интересный режим «в кармане», он позволяет избегать случайного включения телефона в кармане при ходьбе и тд. Работают отлично также сканер пальца и распознавание по лицу, конечно, чуть медленнее некоторых других моделей, но такую цену очень круто.  Спасибо, что дочитали, надеюсь, нашли для себя что-то полезное!
1	"лучший телефон за свои деньги Итак, давайте исходить из того, что немного странно писать отзыв о смартфоне 12-го поколения. Всё, что заявлено производителем, в нем работает прекрасно: яркий экран, громкий стереозвук (лучше, чем на ноутбуке Lenovo ), очень быстрая встроенная память и все те фирменные ""фишечки"" операционной системы iOS, которые так любят поклонники компании из Купертино. По сравнению с моим старым телефоном, аккумулятор держит два дня при умеренном использовании, либо полный день с утра до поздней ночи, если активно ковыряться в телефоне весь день. Самое главное, что следует помнить, не так-то просто перенести всё, что вам требуется, с андроида на айфон! Например, нет штатного средства переноса истории чатов viber или whatsapp! И производители программ не спешат решать проблему, очевидно, это сделано специально. Также, если у вас включена подписка youtube-premium, вы можете сворачивать воспроизведение в режим ""окно в окне"", ползать по сайтам, и в маленьком окошке смотреть видео. А тут нет - он просто свернётся и будет за кадром играть. А также при синхронизации с андроида не перейдёт автоматически список избранных контактов и список заблокированных телефонных номеров. А значит, Дима Билан из Санлайта вас еще не раз побеспокоит. Приятная вещь - когда берёте телефон со стола, он сам включает экран, то есть, не надо специально нажимать отдельную кнопку для активации. Очень высокое качество звука во время разговора как по телефону, так и через различные мессенджеры. Звук имеет широкий диапазон частот, слышно шорохи. Все отметили, что меня стало слышно лучше. Телефон тяжеловатый, форма его рубленая, но это мне нравится особенно, потому что от округлого обтекаемого старого телефона я уже устал. Прилепил бронестекло, а также противоударный корпус. ) Стал телефон как танк, в моей большой руке лежит уверенно, скользить не собирается. Что меня удивило, там чрезвычайно много мелких настроек. Они не влияют глобально на его работу, и если условная ""блондинка"", которая не разбирается в технике, его приобретет для инстаграма, то ничто не помешает ей успешно пользоваться. Поначалу в настройках сложно разобраться, потом подмечаешь систему, и найти нужный параметр становится легко. Не забудьте отключить прослушивание команды ""Привет, Сири"", а также отправку всяческой аналитики к производителю - тем самым вы сэкономите немало ресурсов батарейки. Очень удобно работать с коллекцией фотографий. Подключил гугл фото и имею доступ ко всем фотографиями, которые годами копились на андроиде в облаке гугл. Экран приятного размера и очень чутко реагирует на касания. Но есть одно но - как правило, кнопка ""назад"" расположена в левом верхнем углу экрана, и когда вы используете телефон одной рукой, требуется выполнить цирковой трюк - дотянись пальцем до кнопки назад и не разбей телефон) За счёт переноса информации со старого смартфона первоначальные 5 гигабайт места в облаке iCloud закончились очень быстро. Поэтому купил 200 гигабайт за ~200 рублей в месяц, пользуемся вместе с женой, можно добавить в общей сложности до 6 членов семьи. То же самое можно сделать с покупкой приложений, с подпиской на музыку и еще целый ряд опций. Если у вас хороший телефон на андроиде, и вы думаете, не перейти ли на айфон 12 - не переходите. Камера тут не самая лучшая, есть объективные сравнения, у конкурентов и увеличение получше, и динамический диапазон, и мегапикселей побольше. Плюс вы пока даже не представляете, с чем столкнётесь в плане программного обеспечения! Части программ, к которым вы привыкли на андроиде, просто не существует под айфон. Другая часть есть, но доступна только платно или по подписке. Еще одна часть есть, но выглядит и работает несколько иначе, чем вы привыкли. Ну еще нет возможности записывать телефонные вызовы. Еще нет датчика отпечатков пальцев, есть только Face ID, которое вскрывали по лицу близнеца, ребёнка и так далее. Но самое главное, стоит ли оно того, при средней зарплате по стране в районе 35 тысяч, за телефон просят порядка 70 (базовая модель). Если же у вас старый iPhone, например, 6 или 7, или даже 8, вы думаете, ""ну еще похожу со своим старым"" - бросайте эту затею. Вы лишаете себя целого мира обновлений и технологий. IPhone 12 - это серьезный прорыв в плане производительности и удобства, вот вам я как раз советую приобрести новый смартфон."
