label	review
0	Слишком тяжелый и большой-неудобно Не так давно жена подарила мне этот смартфон.До этого был Honor 8a (отзыв тоже есть у меня о нем),но он у меня разбился об асфальт. Пишу отзыв в сравнивая эти два телефона(больше сравнивать пока не с чем).По цене они схожи-около 10000 рублей.По функциям самсунг уступает хонору.Например:нет функции отпечатка пальца.Но ,как говорится,за бренд самсунг надо доплачивать. Этот телефон очень тяжелый(около 250 г) и толстый-неудобно одной рукой что то писать-просто напросто палец не дотягивается.По размерам он и выше и шире и тяжелее хонора.Даже полностью не помещается в карман. Ну а так,в целом,по работе устройства нареканий нет-работает нормально,пока не тормозит.Камеры 13 мп хватает.Зарядку держит больше суток ,даже если активно пользоваться. В общем выбор за вами : или купить более продвинутый смартфон ,но не такой крупной компании ,как самсунг, или купить бренд,славящийся своим качеством.
0	"Ну такая себе покупка Здравствуйте,дорогие читатели! Достоинства этого телефона: 1) Качество связи прекрасное. Лучше просто некуда; 2) Свежая версия оболочки EMUI 8.2.0. В моем прошлом телефоне Honor 5c стояла EMUI 4.1 - эволюция реально заметна; 3) Камеры 20 мегапикселей задняя и 16 мегапикселей фронталка, фотки получаются шикарные. До сих пор еще толком не разобрался во всех настройках); 4) Идеальное качество сборки . 5) Относительно низкая цена 6) Изумительный звук в наушниках) Даже в беспонтовых затычках марки Sven за 500 рублей. Вполне допускаю, что я в плане звука слаще морковки ничего не ел, но необходимости установки стороннего плеера с учетом наличия звуковых настроек Huawei Histen я не вижу; 7) Все приложения, которыми я пользовался на старом Honor 5c встали на ура;  Нереально огромный дисплей диагональю 6,5 дюймов. С таким и планшет для просмотра фильмов не нужен; 9) Силиконовый чехольчик в комплекте. Спасибо, что не пожадничали); 10) Пленочка уже наклеена на экран, да так плотно и крепко, что можно пока не париться с защитным стеклом; 11) Наконец-то нормальный dual-sim, а не гибридный слот, как на старом Honor 5c; 12) Разъем micro-usb. Для меня это достоинство - куча зарядок не будет лежать без дела. Читал тут статью одного чувака, негодовавшего по поводу этого разъема. Его агрумент: ""...Обманывать тут некого: каждый, кто использовал micro-USB, неоднократно тупил с неправильным положением коннектора"". Эй, парень, без обид, просто у тебя руки растут не из того места, я так не туплю); 13) Оптимизация железа; 14) Аккумулятор прекрасно держит заряд, в отличии от старого Honor 5c, Honor 8x медленнее разряжается и быстрее заряжается (хотя может и неправильно сравнивать новый телефон со старым, уже два года работающим с одной и той же батарейкой); 15) Ну и в конце концов, он просто красивый! Особенно в корпусе синего цвета, как у меня (последний успел урвать, оставались одни красные и черные) - выглядит очень свежо и необычно) WOW-эффект обеспечен! Ну и перейдём к недостатком Недостатки напрямую вытекают из достоинств. 1) По размерам телефончик мягко говоря не для всех. У меня не самая большая ладонь, и только на пятый день использования начал привыкать; 2) Слишком тонкие рамки, из-за чего, с учетом большого дисплея и небольшой по размерам ладони, у меня иногда случаются ошибочные нажатия; 3) Похоже, что ребята из Huawei положили в комплект силиконовый чехол не столько по доброте душевной, сколько из жалости - телефон реально скользкий, без чехла уронить очень легко; 4) Обилие ненужных настроек, которыми нормальный человек пользоваться просто не станет. Например инверсия цветов или повышенная контрастность надписей, от которой просто начинают болеть глаза."
0	"Хороший  смартфон,  но батарея  ужасна.  Отзыв  ОБНАВЛЕН  18 10 2020  Не  покупайте Вернувшись на операционную систему Android после долгого перерыва я спешу поделиться с вами впечатлениями. Мой iphone 8, о котором я рассказывала   , жив и прекрасно себя чувствует сейчас им с удовольствием пользуется моя мама , поскольку Samsung I9300 Galaxy S III"", которым она пользовалась ранее умер от старости, эту историю я рассказывала  Перелопатив весь интернет я пришла к выводу, что iphone сейчас значительно проигрывают Samsung и убедив себя в том, что мне все-таки нужен хороший телефон и не обязательно телефон на системе ios  я остановила свой выбор на   о котором сегодня и пойдет речь  Более подробно о характеристиках вы можете прочесть  Перейдем к  которые я обнаружила для себя: я нашла всего два: : телефоном я очень довольна , батареи мне хватает на 3 иногда 4 дня использования. Я все настроила под себя и руки к iphone уже не тянутся. Тот факт, что пришлось купить переходник для подключения к ПК меня расстроил, телефон недешевый могли бы и положить, но я смирилась . А если бы удалось решить проблему с исчезающими уведомлениями я была бы полностью им довольна , на s3 у меня такой проблемы не было , если кто-то знает как ее решить напишите в комментариях, я буду очень благодарна. : через 8 месяцев использования телефон стал терять за ночь сначала 1%, затем 4%, а сейчас 5 , а так думаю, что этот процент продолжит увеличиваться, если собирались купить, то присмотритесь к чему-то еще . "
0	Телефон средний
1	Быстрый, но далеко не идеальный вариант. Перерыв весь интернет, в поисках бюджетного и надежного телефона остановила свой выбор на Xiaomi. Не скажу, что это идеальный вариант, но из предложенных моделей на современным рынке это будет самым оптимальным. Хотя мой предыдущий смартфон устраивал меня абсолютно на 120%, но технологии не стоят на месте, да и производителям выгодно продать 10 товаров за 10 лет, а не один. Ограничив мои возможности, пришлось искать более менее подходящий вариант, хотя бы на первое время. Понравились некоторые модели предыдущих версий, довольно удачные, отзывы хорошие, и даже с чипом NFC. Очень интересно почему в старых и уже не таких дорогих моделях стоят хорошие стереодинамики, надежная камера и чип nfc. Я бы купила и более раннюю модель, но версия ОС не обновляется до последней, печально. В общем из представленных вариантов это оптимальное сочетание цены и качества. Более новая модель отличается улучшенной версией процессора, а в некоторых смартфонах и батарея не такая мощная. Но в данном варианте производительность быстрая, где запросы и загрузки программ проходят моментально. Первое фото сделано на телефоне с камерой 8мп, вторая в режиме портрет на редми, и третья в обычном режиме. Сама камера нудобно расположена и сильно выпирает, даже если телефон находится в чехле. Огорчило меня отсутствие NFC. Вот без него я даже не могу назвать телефон идеальным и поставить ему пять звезд. Чип по сути дела стоит копейки по сравнению с другими начинками в телефоне. Что касается внешнего вида, то без защитного стекла и чехла вообще нельзя носить. В комплекте идет силиконовый, но для надежной защиты я заказала себе еще покрепче, чем просто силикон. В общем могу сказать, что ожидала я лучшего варианта, но пока что есть, то есть.
0	Телефон за 6 тысяч. Мало или много? В июне 2018 года я купила себе смартфон Xiaomi Redmi 5A. Стоил он всего 6000, что очень порадовало. Придя домой осмотрела упаковку, а затем и сам телефон. Конечно же очень порадовала камера, что задняя, что фронтальная. Память телефона достаточно большая, что тоже радует за такую сумму. Интерфейс очень интуитивный. Но самый главный плюс это заряд батареи, которого хватает на день точно. Заряжается за два часа максимум. Плюс разработчикам этой модели из-за того, что сделали двухсимочный разъем. Еще ни разу не зависал и не подыхал беспричинно. За такую сумму это отличный вариант смартфонов. Советую.
0	"Красная тряпка для невротика: в этом телефоне бесит ВСЕ!  + фото с Samsung Galaxy A 41 Выбирала телефон по всего лишь двум параметрам: чтобы размер был небольшой и камера хорошая. Под такие пожелания подошли несколько моделей, но я решила остановиться на Самсунге. Фирме, проверенной временем. Выбранная модель называется SAMSUNG GALAXY A41. Ее стоимость составляла чуть больше 20 тысяч, потом стала плавно съезжать вниз. По акции в ДНС телефон можно приобрести за 18 тысяч, на Озоне в текущий момент он 15 тысяч рублей. Я отдала за него 16.000 рублей. Samsung Galaxy A 41 выпускается в трех цветах: белый, черный и красный. Остановилась на последнем. У него достаточно компактный по нынешним меркам размер: диагональ 6.1, безрамочный экран. Даже в маленькой руке неплохо сидит. Это одно из главных его преимуществ. Природа не одарила смартфон особо сильной батареей, емкость 3500 мАч. В старом моем смарте было 3000, а покупался он почти 3 года назад. У меня с батарейками вечные проблемы, поэтому хотелось бы все же что-то посильнее. Но ладно, и так сойдет. Аккум несъемный. Вот такое описание системы: В тяжелые игры я на смарте не играю, поэтому на 8 ядер мне глубоко фиолетово. А особой суперскорости в чем-то я не заметила. Хотя по словам мужа, смартфон достаточно мощный. Переходим к бесящим меня минусам. 1.  Я не знаю, что это за фигня, но при первом включении телефон меня просто заколебал. Он стал предлагать мне устанавливать игры, приложения, дополнения, создавать какие-то аккаунты и все такое прочее. Дальше - хуже. На рабочем столе адское количество установленных приложух, которые мне не нужны. Некоторые так просто не удалить. Пришлось просить мужа, сама бы я это не убрала. Например, когда я листаю главный экран вправо, то появлялась целая рекламная страница от самсунга, требовала регистрации, доступов и фиг знает чего еще. Из плюсов, если долго мучиться, то можно все же кое-как настроить все под себя. Я не знаю, какой чудак на букву м выкатил в продажу модель с таким сырым ПО. Или дело именно в физически нечувствительном сенсоре. Но датчик отпечатка тут может не срабатывать до бесконечности! Пока мне просто не надоест и я не введу пин! Проблема возникла прямо сразу, еще у нового телефона, с чистыми руками, без всяких там экстримальных ситуаций. Это жесть какая-то! Можно сказать, что это неважная мелочь. Блин, но на старом, трехлетнем Хоноре все работало, как часы, а здесь типа как новая модель и вроде как от САМСУНГа, а такое отвратительное исполнение. Если есть функция, то я, блин, хочу ей пользоваться! Когда разговариваешь по телефону, то смартфон живет своей жизнью. Samsung Galaxy A 41 открывает какие-то приложения, что-то скачивает, сворачивает и делает фиг знает что. Потому что экран не блокируется! И, видимо, ухом само что-то нажимается. Я не знаю, как с этим бороться. А если у вас, как и у меня, есть привычка прижимать смарт плечом к уху, а руками что-от делать, то про это можно забыть. Чаще всего я разговариваю по громкой связи. Вот это самая большая моя боль. ""Самсунг не может сделать плохую камеру,""- говорили они. Может! Еще как может! У меня шестилетний смартфон с одной единственной камерой снимает лучше, чем это недоразумение. Это просто без комментариев) Я просто отказываюсь верить своим глазам, потому что цена этому смартфону тысяч 7, не больше, по качеству съемки. На кой хрен лепить сюда ТРИ одинаково паршивые камеры? А видео?! Вы бы видели видео с этого телефона! Я снимала, как собака бегает по газону при солнечном свете. Я стояла и не двигалась. Когда скинула ролик на комп, это было похоже на то, что я бежала от маньяка и телефоном отбивалась. Даже звук какой-то деформированный и глухой. Плюсы Samsung Galaxy A 41: размер Минусы Samsung Galaxy A 41: ВСЕ остальное"
0	Не качественный телефон Здравствуйте друзья. Хочу поделиться своим печальным опытом использования телефона  Куплен был смартфон примерно,пол года назад,в салоне МТС.Выбор на него лёг из за привлекательной цены,на тот момент составляло  Сильно понравилось,как с комплектована коробка. Смартфон использовался мной пол года,в итоге загорелся прямо в руках. Как итог,мой Samsung не пригоден ремонту.
0	"iPhone X - Мой 1 год использования / Что с ним случилось после 1 года? Всем привет Друзья! ☺️ Вот недавно исполнилось год моему iPhone X. Сегодня хочу вам откровенно сказать, что мне в нем за этот год понравился, а что нет. Пока что + о нём ⬇️ 1) Он очень быстро работает, особенно в играх. Игры не лагают, максимальную графику телефон тянет на все 100%. Я не любитель играть в игры, но хотите или нет мы все с вами люди и любим развекаться в наших гаджетах☺️ 2) Телефон очень доступный, нет никаких непонятных файлов как в системе (Android), но есть файлы которые нельзя (не говорю что невозможно) скачать на систему (iOS) с каких-либо браузеров, но для работы телефон просто Высший Класс 3) Громкий динамик - все мы любим слушать песню особенно громко, но я не думаю что вы слушаете песни через динамики телефона, а возможно через колонки, потаму что соответственно через колонки будет звук чище и бассистей. 4) Телефон очень надежный, особенно нравится функция ""Локатор"" (тот же самый ""Найти iPhone""). Даже если вы потереля свой телефон дома, вы с легкостью можете найти его с помощью приложения ""Локатор"", ну только если у вас есть ещё один продукт от ""Apple"" 5) Камера - компания ""Apple"" всегда хвалилась своей камерой, да есть уже новые телефоны с 64 мегапикселями да это очень все круто, ну короче камера просто ТОП на iPhone X Ну теперь минусы ""iPhone X"" 1) Телефон нагревается, при играх телефон нагревается так сильно, что можно жарить яишницу. Особенно когда сидите с зарядкой и + с чехлом. Кстати советую снимать чехол когда играете игры (На любых гаджетах) Он нагревается при обычной работе тоже! Незнаю с чем это связяно, но у меня так. Даже я сейчас пишу вам с него и сижу с зарядкой у меня он нагрелся. 2) Что мне не нравится это App Store, я живу в другой стране, не в России. Живу я в Баку, при регистрациии Apple ID я выбрал свою страну и свой город, у меня App Store намного отличался от Российского App Store, хотя зачем надо было на каждую страну отдельный App Store, это не очень удобно. 3) Толщина - телефон немного толстенький, почему-то начали именно делать Айфоны толще, с каждым годом Айфоны становятся все толще и толще, ну вот согласитесь неужели вам удобно держать Тяжелый да и толстый телефон, ну такое согласитесь, тоже не очень 🤨 4) Если вы думаете что Айфон это супер навороченный телефон? Нет, вы ошибаетесь. Этот телефон как и все остальные телефоны в приницпе, просто на другой системе и с другим дизайном. Компания ""Apple"" Просто Имеет Название☑️☑️☑️ Незнаю по мне Самсунг не хуже чем Айфон и подешевле🤷🏻‍♂️ 5) Аккумулятор - в этом телефоне просто Убогий, почему нельзя сделать Айфон который может держать проценты уверенно. В телефоне есть такая функция ""Состояние Аккумулятора"", как она работает это объяснять долго, поэтаму советую вам перейти на YouTube и загуглить, а я вам расскажу в кратце, например вы купили айфон, на нем 100% состояние аккумулятора, но со временем оно просто спадает, у меня оно 88% и это год использования! Замена батареи 10-13 тыс.рублей, ну не очень, это огромный минус Айфона На этом пока я всё рассказал про свой Год Использования! Всем Спасибо Кто До Конца прочитал мой текст) Пока и Удачи во всём 🙋🏻‍♂️"
1	"Бюджетно и качественно Конечно, хотелось мне сменить мой старенький Самсунг на новый. Но, к сожалению, цена на флагманы была слишком высокой, а отзывы говорили, что не стоит он своих денег. Тогда я решила обратиться к китайскому сегменту. И вот, что получилось. Из всех китайских брендов, представленных на российском рынке, я решила остановиться на Хуавее. И все по тому, что он максимально приближен по качеству к европейским. На тот момент (конец 2018г.) флагман Хуавей Р20 стоил также немалых денег - 35 000 руб., а эта же модель PRO - аж за 50 тыс.руб. И все благодаря профессиональной камере. Версия Lite по цене 18 000 руб. не имела сей роскоши. Взвесив все за и против решила брать версию LITE. И не пожалела об этом, т.к. телефон отвечает всем моим требованиям. а именно: - красивый дизайн (синий цвет роскошный) - свежая версия Андроид, нет проблем с установкой каких-либо приложений - быстрая работа. Легко реагирует на быстрый переход задач - отзывчивый тач - оптимальный размер гаджета - интуитивно понятен во всех смыслах. Легко перестроилась после Самсунга - красивые фотки. Этот пункт индивидуален. Для тех, кто увлекается фотками, думаю не подойдет этот гаджет, т.к. по мнению некоторых пользователей фото получаются ""плоскими"" - хороший объем памяти - возможность поставить карту памяти - отпечаток пальца. Это и плюс и в тоже время им со временем перестала пользоваться, потому что реагирует не всегда. - оплата при помощи телефона В комплекте идет силиконовый чехол прозрачный. Ношу его уже пол года почти, все отлично, защищает при падениях. Кстати о падениях, неоднократно падал. Все ок. Тут, конечно, смотря как уронить, но хрупким я бы его не назвала. Тут еще важно понимать, что это техника и нужно обращаться аккуратно. Из  отметила бы: 1. слабый звук. В наушниках в метро не слышно... так и без наушников на полной громкости слабоват. 2. довольно маркий экран, либо ставить матовое стекло с потерей соответственно блеска красок (тут на любителя), либо протирать постоянно. Кстати на силиконовом чехле также остаются пальчики 3. на пальчик часто не реагирует В комплекте обычная европейская зарядка. Для меня было приятным плюсом то, что провод длинный и толстый. Очень удобно. Наушники обычные в комплекте, провод на морозе замерзает и встает колом))) вот несколько фото с телефона."
